productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extUnit,extGrade,extSkillIcon,extNation,extRace,extClan,extPower,extShield,extCritical,extFlavorText,extImaginaryGift,extTrigger
257385,Touken Ranbu -ONLINE- 2021 Booster Box,Touken Ranbu ONLINE 2021 Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/257385_200w.jpg,16,2962,https://cpt.tcgcsv.com/KZ33,2023-08-10T12:59:38.8,1,Each box contains 12 packs of 7 random cards <em>(two of them being R or greater rarity)</em>.,17.0,24.98,60.0,18.56,,Normal,,,,,,,,,,,,,,,
257386,Touken Ranbu -ONLINE- 2021 Booster Pack,Touken Ranbu ONLINE 2021 Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/257386_200w.jpg,16,2962,https://cpt.tcgcsv.com/LZ33,2022-01-21T05:03:08.957,1,Each pack contains 7 random cards. <em>(two of them being R or greater rarity)</em>.,2.95,4.18,5.4,,,Normal,8885009406549.0,,,,,,,,,,,,,,
257387,Touken Ranbu -ONLINE- 2021 Booster Box Case,Touken Ranbu ONLINE 2021 Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/257387_200w.jpg,16,2962,https://cpt.tcgcsv.com/MZ33,2022-02-28T14:55:06.33,1,Each sealed booster box case contains 24 booster boxes of 16 packs. <em>(each pack contains 7 random cards with two of them being R or greater rarity)</em>,838.99,838.99,838.99,,,Normal,,,,,,,,,,,,,,,
260420,Mikazuki Munechika,Mikazuki Munechika,https://tcgplayer-cdn.tcgplayer.com/product/260420_200w.jpg,16,2962,https://cpt.tcgcsv.com/qb63,2022-01-21T05:03:08.957,1,"[AUTO](RC)[1/turn]:When this unit attacks, perform all of the following according to the number of cards in your damage zone.<br>•3 or more cards - This unit gets [Power] +5000 until end of turn.<br>•4 or more cards - Look at the top card of your deck, and put it on the top or bottom of your deck.<br>•5 or more cards - [COST][Counter-Blast 1 & Soul-Blast 1], and [Stand] this unit. <br>",10.0,17.12,30.0,9.48,,Normal,,D-TB01/001EN,RRR,Normal,2.0,Intercept,Other,Touken Danshi-Tachi,Touken Ranbu,10000.0,5000.0,1.0,“I'm Mikazuki Munechika. My name comes from the crescent moon shapes on my blade. Nice to meet you.”,,
260421,Oodenta Mitsuyo,Oodenta Mitsuyo,https://tcgplayer-cdn.tcgplayer.com/product/260421_200w.jpg,16,2962,https://cpt.tcgcsv.com/rb63,2022-01-21T05:03:08.957,1,"[AUTO](RC):When this unit's attack hits, if you persona rode this turn, [COST][Counter-Blast 1], choose a card from your damage zone, and heal it.",0.15,0.44,1.99,0.26,,Normal,,D-TB01/002EN,RRR,Normal,2.0,Intercept,Other,Touken Danshi-Tachi,Touken Ranbu,10000.0,5000.0,1.0,"“Odenta Mitsuyo, one of the Tenga Goken. Perhaps you should have just left me sealed in the storage shed...”",,
260422,Juzumaru Tsunetsugu,Juzumaru Tsunetsugu,https://tcgplayer-cdn.tcgplayer.com/product/260422_200w.jpg,16,2962,https://cpt.tcgcsv.com/sb63,2022-01-21T05:03:08.957,1,"[ACT](RC)[1/turn]:[COST][Counter-Blast 1 & Rest] this unit and one of your other rear-guards], choose one of your opponent's units, and it gets [Power] -5000 until end of turn. If you persona rode this turn, [Stand] all of your rear-guards.<br>",0.25,0.49,1.99,0.49,,Normal,,D-TB01/003EN,RRR,Normal,2.0,Intercept,Other,Touken Danshi-Tachi,Touken Ranbu,10000.0,5000.0,1.0,"“My name is Juzumaru Tsunetsugu. I hold faith with the Buddhism doctrines, searching for an answer in the long period of time, where even the values of humans change.”",,
260423,Onimaru Kunitsuna,Onimaru Kunitsuna,https://tcgplayer-cdn.tcgplayer.com/product/260423_200w.jpg,16,2962,https://cpt.tcgcsv.com/tb63,2022-01-21T05:03:08.957,1,"[AUTO](RC):When this unit attacks, if your opponent's vanguard is grade 3 or greater, [COST][Counter-Blast 1 & Soul-Blast 1], and this unit gets [Power] +5000/[Critical] +1 until end of that battle. At the end of that battle, put this unit on the bottom of your deck.",0.14,0.5,2.99,0.84,,Normal,,D-TB01/004EN,RRR,Normal,2.0,Intercept,Other,Touken Danshi-Tachi,Touken Ranbu,10000.0,5000.0,1.0,“...I'm Onimaru Kunitsuna. I saw it in a dream. The arrival of an oni at your doorstep.”,,
260424,Shokudaikiri Mitsutada,Shokudaikiri Mitsutada,https://tcgplayer-cdn.tcgplayer.com/product/260424_200w.jpg,16,2962,https://cpt.tcgcsv.com/vb63,2022-01-21T05:03:08.957,1,"[AUTO]:When this unit is placed on (RC) from hand, if your opponent's vanguard is grade 3 or greater, [COST][Counter-Blast 1], and all of your front row units get [Power] +5000 until end of turn.<br>[AUTO](RC):When this unit's attack hits a vanguard, [COST][Soul-Blast 1], choose one of your opponent's front row rear-guards, and retire it. <br>",0.35,0.51,3.99,0.37,,Normal,,D-TB01/005EN,RRR,Normal,2.0,Intercept,Other,Touken Danshi-Tachi,Touken Ranbu,10000.0,5000.0,1.0,"“I'm Shokudaikiri Mitsutada, named after...a candlestick I cut in two. I know, pretty lame, right?”",,
260425,Kasen Kanesada Kiwame,Kasen Kanesada Kiwame,https://tcgplayer-cdn.tcgplayer.com/product/260425_200w.jpg,16,2962,https://cpt.tcgcsv.com/wb63,2022-01-21T05:03:08.957,1,"[ACT](VC)[1/turn]:[COST][Soul-Blast 1 & Rest] any number of your rear-guards], and this unit gets [Power] +5000 until end of turn for each unit [Rest] for this cost. <br>[CONT](VC):During the battle that this unit attacked, if this unit's [Power] is 30000 or greater, when your opponent would call cards from their hand to (GC), they must call two or more at the same time.<br>",0.24,0.49,1.99,0.49,,Normal,,D-TB01/006EN,RRR,Normal,3.0,Twin Drive,Other,Touken Danshi-Uchigatana,Touken Ranbu,13000.0,0.0,1.0,“What do you make of these clothes? Can you see the intent to convey a sense of gracefulness?”,Persona Ride,
260426,Mutsunokami Yoshiyuki Kiwame,Mutsunokami Yoshiyuki Kiwame,https://tcgplayer-cdn.tcgplayer.com/product/260426_200w.jpg,16,2962,https://cpt.tcgcsv.com/xb63,2022-01-21T05:03:08.957,1,"[CONT](VC):If your opponent has no back row rear-guards, this unit gets [Power] +2000. <em>(Active on opponent's turn too)</em><br>[AUTO](VC):When this unit attacks, [COST][Counter-Blast 1], choose one of your opponent's back row rear-guards, and retire it. Then, this unit gets [Power] +5000 until end of that battle for each of your opponent's open back row (RC).",0.25,0.5,1.99,0.5,,Normal,,D-TB01/007EN,RRR,Normal,3.0,Twin Drive,Other,Touken Danshi-Uchigatana,Touken Ranbu,13000.0,0.0,1.0,"“I'm only tryna match my master's ambitions. Nothing else. Now, what d'ya say we go conquer the world?”",Persona Ride,
